id,config_id,symbol,direction,entry_price,exit_price,funding_rate,funding_pnl,price_pnl,fee_cost,total_pnl,total_pnl_pct,balance_after,open_time,close_time,trade_timestamp,exchange,close_reason,created_at,updated_at,price_pnl_pct,reconciled_at,entry_score,entry_score_breakdown
157,45,HOLOUSDT,LONG,0.06083000,0.06082000,-0.375376,0.086918,-0.003790,0.023053,0.060075,0.778348,24.924785,25/02/2026 20:59:55,25/02/2026 21:00:20,1772064020803,binance,take_profit_target,2026-02-26 00:00:20.804723+00:00,2026-02-26 00:00:20.804723+00:00,-0.049104,2026-02-26 00:00:27.883245+00:00,80.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 5.0, ""gross_apy"": 822.1, ""consistency"": 15.0}"
158,43,POWERUSDT,SHORT,0.89777000,0.87693000,0.000000,0.000000,1.083680,0.046142,1.037538,10.928655,41.011167,25/02/2026 21:00:10,25/02/2026 21:05:55,1772064355495,binance,trailing_stop,2026-02-26 00:05:55.495982+00:00,2026-02-26 00:05:55.495982+00:00,11.414683,2026-02-26 00:06:02.438850+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 1630.0, ""consistency"": 15.0}"
159,43,SKRUSDT,SHORT,0.02299400,0.02224992,0.000000,-0.468395,1.936847,0.058885,1.409567,11.764026,42.420734,25/02/2026 16:00:06,25/02/2026 21:32:21,1772065941086,binance,trailing_stop,2026-02-26 00:32:21.086322+00:00,2026-02-26 00:32:21.086322+00:00,16.164619,2026-02-26 00:32:28.099573+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 978.6, ""consistency"": 15.0}"
160,43,ESPUSDT,SHORT,0.15241000,0.15149000,0.000000,-0.321684,0.374440,0.061844,-0.009088,-0.073160,42.411646,25/02/2026 18:00:06,25/02/2026 21:34:04,1772066044568,binance,trailing_stop,2026-02-26 00:34:04.568407+00:00,2026-02-26 00:34:04.568407+00:00,3.014427,2026-02-26 00:34:11.329774+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 1063.4, ""consistency"": 15.0}"
163,43,STEEMUSDT,SHORT,0.06784000,0.06593190,0.000000,0.000000,0.894900,0.031370,0.863530,13.508006,27.780291,25/02/2026 22:00:09,25/02/2026 22:01:26,1772067686009,binance,trailing_stop,2026-02-26 01:01:26.010220+00:00,2026-02-26 01:01:26.010220+00:00,13.998712,2026-02-26 01:01:32.983222+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 2810.8, ""consistency"": 15.0}"
164,43,POWERUSDT,SHORT,0.90654743,0.89481000,0.000000,0.000000,0.410810,0.031524,0.379286,5.933086,28.159577,25/02/2026 22:00:10,25/02/2026 22:12:48,1772068368295,binance,trailing_stop,2026-02-26 01:12:48.295332+00:00,2026-02-26 01:12:48.295332+00:00,6.426205,2026-02-26 01:12:56.036843+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 1831.9, ""consistency"": 15.0}"
165,43,ESPUSDT,SHORT,0.14879000,0.14766000,0.000000,0.000000,0.241820,0.031720,0.210100,3.286543,28.369677,25/02/2026 22:00:05,25/02/2026 22:53:44,1772070824574,binance,trailing_stop,2026-02-26 01:53:44.574622+00:00,2026-02-26 01:53:44.574622+00:00,3.782734,2026-02-26 01:53:51.259630+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 1813.7, ""consistency"": 15.0}"
166,43,STEEMUSDT,SHORT,0.06483000,0.06277000,0.000000,0.000000,0.856960,0.018707,0.838253,15.551313,29.207930,25/02/2026 23:00:05,25/02/2026 23:08:37,1772071717704,binance,trailing_stop,2026-02-26 02:08:37.704451+00:00,2026-02-26 02:08:37.704451+00:00,15.898369,2026-02-26 02:08:44.658486+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 2963.3, ""consistency"": 15.0}"
167,43,ESPUSDT,SHORT,0.14871000,0.14652000,0.000000,0.000000,0.396390,0.018643,0.377747,7.007976,29.585676,25/02/2026 23:00:15,25/02/2026 23:08:58,1772071738562,binance,trailing_stop,2026-02-26 02:08:58.562515+00:00,2026-02-26 02:08:58.562515+00:00,7.353849,2026-02-26 02:09:05.515579+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 1524.1, ""consistency"": 15.0}"
168,43,POWERUSDT,SHORT,0.90007276,0.88947000,0.000000,0.000000,0.307480,0.025948,0.281532,5.222990,29.867207,25/02/2026 23:00:13,25/02/2026 23:16:10,1772072170936,binance,trailing_stop,2026-02-26 02:16:10.936729+00:00,2026-02-26 02:16:10.936729+00:00,5.704385,2026-02-26 02:16:17.624038+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 2288.5, ""consistency"": 15.0}"
169,43,AZTECUSDT,SHORT,0.02637000,0.02637000,0.000000,0.000000,0.000000,0.028348,-0.028348,-0.499540,29.838859,26/02/2026 00:00:09,26/02/2026 00:09:24,1772075364801,binance,break_even_stop,2026-02-26 03:09:24.801345+00:00,2026-02-26 03:09:24.801345+00:00,0.000000,2026-02-26 03:09:31.986178+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 215.8, ""consistency"": 15.0}"
170,43,STEEMUSDT,SHORT,0.06292000,0.06302000,0.000000,0.000000,-0.044800,0.028211,-0.073011,-1.286581,29.765849,26/02/2026 00:00:09,26/02/2026 00:10:42,1772075442356,binance,break_even_stop,2026-02-26 03:10:42.356945+00:00,2026-02-26 03:10:42.356945+00:00,-0.789459,2026-02-26 03:10:49.411217+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 2294.8, ""consistency"": 15.0}"
171,43,ESPUSDT,SHORT,0.14364000,0.14211000,0.000000,0.000000,0.301410,0.028146,0.273264,4.815414,30.039114,26/02/2026 00:00:09,26/02/2026 00:47:00,1772077620957,binance,trailing_stop,2026-02-26 03:47:00.957309+00:00,2026-02-26 03:47:00.957309+00:00,5.311405,2026-02-26 03:47:08.316584+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 1128.9, ""consistency"": 15.0}"
172,45,WETUSDT,LONG,0.09291183,0.09311000,-0.494367,0.000000,0.049748,0.011660,0.038088,0.483094,24.935231,26/02/2026 00:59:56,26/02/2026 01:00:00,1772078400152,binance,exchange_sync,2026-02-26 04:00:00.153246+00:00,2026-02-26 04:00:00.153246+00:00,0.630992,2026-02-26 04:00:07.258234+00:00,74.0,"{""apy"": 40.0, ""volume"": 13.6, ""interval"": 5.0, ""gross_apy"": 1082.7, ""consistency"": 15.0}"
173,45,ENSOUSDT,LONG,1.74010000,1.74000000,-2.000000,0.000000,-0.001360,0.004733,-0.006093,-0.077283,25.048266,26/02/2026 00:59:57,26/02/2026 01:00:00,1772078400916,binance,exchange_sync,2026-02-26 04:00:00.918779+00:00,2026-02-26 04:00:00.918779+00:00,-0.017250,2026-02-26 04:00:08.680515+00:00,0.0,"{""apy"": 0, ""volume"": 0, ""interval"": 0, ""gross_apy"": 0, ""consistency"": 0}"
174,45,API3USDT,LONG,0.31300000,0.31180000,-0.381945,0.000000,-0.089760,0.011706,-0.101466,-1.286973,24.827671,26/02/2026 00:59:59,26/02/2026 01:00:32,1772078432265,binance,exchange_sync,2026-02-26 04:00:32.266011+00:00,2026-02-26 04:00:32.266011+00:00,-1.138495,2026-02-26 04:00:39.224163+00:00,71.0,"{""apy"": 40.0, ""volume"": 11.5, ""interval"": 5.0, ""gross_apy"": 836.5, ""consistency"": 15.0}"
175,43,POWERUSDT,SHORT,0.87453000,0.85828000,0.000000,-0.051651,0.520000,0.019329,0.449019,7.912555,30.488133,26/02/2026 00:00:09,26/02/2026 01:20:19,1772079619731,binance,trailing_stop,2026-02-26 04:20:19.732055+00:00,2026-02-26 04:20:19.732055+00:00,9.163368,2026-02-26 04:20:26.424610+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 2117.7, ""consistency"": 15.0}"
