id,config_id,log_level,event,symbol,direction,exchange,message,details,created_at
518,45,INFO,close_attempt,WETUSDT,LONG,binance,Fechando WETUSDT @ ~0.0927 | motivo: funding,"{""size"": 251.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""funding"", ""current_price"": 0.09271, ""side_to_close"": ""sell""}",2026-02-26 04:00:15.291034+00:00
519,45,INFO,close_success,WETUSDT,LONG,binance,Posição WETUSDT sincronizada — fechada na exchange @ ~0.0930,"{""close_reason"": ""take_profit_target"", ""original_error"": ""binance {\""code\"":-2022,\""msg\"":\""ReduceOnly Order is rejected.\""}""}",2026-02-26 04:00:19.088600+00:00
520,45,INFO,close_attempt,ENSOUSDT,LONG,binance,Fechando ENSOUSDT @ ~1.7068 | motivo: funding,"{""size"": 13.6, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""funding"", ""current_price"": 1.7068, ""side_to_close"": ""sell""}",2026-02-26 04:00:34.919850+00:00
521,45,INFO,close_success,ENSOUSDT,LONG,binance,Posição ENSOUSDT sincronizada — fechada na exchange @ ~1.7413,"{""close_reason"": ""take_profit_target"", ""original_error"": ""binance {\""code\"":-2022,\""msg\"":\""ReduceOnly Order is rejected.\""}""}",2026-02-26 04:00:38.739170+00:00
522,43,INFO,trailing_armed,POWERUSDT,SHORT,binance,Trailing armado em POWERUSDT: variação de preço 1.4328% (gatilho 1.3000%) @ 0.862000,"{""entry_price"": 0.87453, ""current_price"": 0.862, ""price_change_pct"": 1.4327696019576275, ""trailing_stop_pct"": 0.7, ""trailing_start_profit_pct"": 1.3}",2026-02-26 04:15:54.703766+00:00
523,43,INFO,close_attempt,POWERUSDT,SHORT,binance,Fechando POWERUSDT @ ~0.8593 | motivo: trailing_stop,"{""size"": 32.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""trailing_stop"", ""current_price"": 0.85935, ""side_to_close"": ""buy""}",2026-02-26 04:20:17.112040+00:00
524,43,INFO,close_success,POWERUSDT,SHORT,binance,Posição fechada: POWERUSDT @ 0.8583,"{""order_id"": ""1073487050"", ""exit_price"": 0.85828, ""close_reason"": ""trailing_stop""}",2026-02-26 04:20:19.725875+00:00
525,43,INFO,trailing_armed,SKRUSDT,SHORT,binance,Trailing armado em SKRUSDT: variação de preço 1.5108% (gatilho 1.3000%) @ 0.021597,"{""entry_price"": 0.0219283, ""current_price"": 0.021597, ""price_change_pct"": 1.5108330331124602, ""trailing_stop_pct"": 0.7, ""trailing_start_profit_pct"": 1.3}",2026-02-26 04:22:34.096368+00:00
526,43,INFO,close_attempt,SKRUSDT,SHORT,binance,Fechando SKRUSDT @ ~0.0218 | motivo: trailing_stop,"{""size"": 1453.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""trailing_stop"", ""current_price"": 0.021757, ""side_to_close"": ""buy""}",2026-02-26 04:24:11.529248+00:00
527,43,INFO,close_success,SKRUSDT,SHORT,binance,Posição fechada: SKRUSDT @ 0.0217,"{""order_id"": ""359858456"", ""exit_price"": 0.0217392, ""close_reason"": ""trailing_stop""}",2026-02-26 04:24:14.150612+00:00
528,45,INFO,open_attempt,ENSOUSDT,LONG,binance,Tentando abrir LONG 14.1 ENSOUSDT @ ~1.6641,"{""side"": ""buy"", ""size"": 14.1, ""fee_type"": ""maker"", ""leverage"": 3, ""hedge_mode"": true, ""ccxt_symbol"": ""ENSO/USDT:USDT"", ""entry_price"": 1.6641, ""funding_rate"": -0.00462751, ""trigger_type"": ""auto"", ""position_value"": 23.5863, ""funding_rate_pct"": -0.462751}",2026-02-26 04:59:52.218892+00:00
529,45,INFO,open_success,ENSOUSDT,LONG,binance,Posição aberta: LONG 14.1 ENSOUSDT @ 1.6739,"{""size"": 14.1, ""order_id"": ""1311028990"", ""open_time"": ""26/02/2026 01:59:57"", ""actual_entry"": 1.6739, ""trigger_type"": ""auto"", ""position_value"": 23.5863, ""funding_rate_pct"": -0.462751}",2026-02-26 04:59:57.837605+00:00
